item_family,item_family_description,category
10002,INFLATABLE POLITICAL GLOBE,GIFT ITEMS
10080,GROOVY CACTUS INFLATABLE,TOYS
10120,DOGGY RUBBER,TOYS
10123,HEARTS WRAPPING TAPE,STATIONERY
10124,BOOKCOVER TAPE,STATIONERY
10125,MINI FUNKY DESIGN TAPES,CRAFTS
10133,COLOURING PENCILS BROWN TUBE,STATIONERY
10135,COLOURING PENCILS BROWN TUBE,STATIONERY
11001,ASSTD DESIGN RACING CAR PEN,STATIONERY
15030,FAN BLACK FRAME,LIGHTING
15034,PAPER POCKET TRAVELING FAN,TRAVEL
15036,ASSORTED COLOURS SILK FAN,GIFT ITEMS
15039,SANDALWOOD FAN,HOLIDAY
15044,PAPER PARASOL,HOLIDAY
15056,EDWARDIAN PARASOL,OUTDOOR
15058,GARDEN PARASOL,OUTDOOR
15060,FAIRY CAKE DESIGN UMBRELLA,GIFT ITEMS
16008,SMALL FOLDING SCISSOR(POINTED EDGE),TOOL & DIY
16010,FOLDING CAMPING SCISSOR W/KNIF & S,TOOL & DIY
16011,ANIMAL STICKERS,STATIONERY
16012,FOOD/DRINK SPONGE STICKERS,OTHERS
16014,SMALL CHINESE STYLE SCISSOR,TOOL & DIY
16015,MEDIUM CHINESE STYLE SCISSOR,TOOL & DIY
16016,LARGE CHINESE STYLE SCISSOR,TOOL & DIY
16020,CLEAR STATIONERY BOX SET,STATIONERY
16033,MINI HIGHLIGHTER PENS,STATIONERY
16043,POP ART PUSH DOWN RUBBER,CRAFTS
16045,POPART WOODEN PENCILS ASST,STATIONERY
16046,TEATIME PEN CASE & PENS,STATIONERY
16048,TEATIME ROUND PENCIL SHARPENER,STATIONERY
16049,TEATIME GEL PENS ASST,STATIONERY
16052,TEATIME PUSH DOWN RUBBER,KITCHENWARE
16054,POPART RECT PENCIL SHARPENER ASST,STATIONERY
16151,FLOWERS HANDBAG blue and orange,BAGS
16156,WRAP CAROUSEL,CLOTHING
16161,WRAP,GIFT ITEMS
16162,THE KING GIFT BAG,GIFT ITEMS
16168,FUNKY MONKEY GIFT BAG MEDIUM,GIFT ITEMS
16169,WRAP,GIFT ITEMS
16202,PHOTO ALBUM,STATIONERY
16206,RED PURSE WITH PINK HEART,BAGS
16207,PINK HANDBAG,BAGS
16216,LETTER SHAPE PENCIL SHARPENER,STATIONERY
16218,CARTOON PENCIL SHARPENERS,STATIONERY
16219,HOUSE SHAPE PENCIL SHARPENER,STATIONERY
16225,RATTLE SNAKE EGGS,OTHERS
16235,RECYCLED PENCIL WITH RABBIT ERASER,STATIONERY
16236,KITTY PENCIL ERASERS,STATIONERY
